company_name,job_name,job_type,date,city,country
Bank of America,"Sr. Relationship Manager - Global Commercial Banking - Healthcare, Education, Not-for-Profit - (Nashville)",external,2024-11-09,Nashville,TN
Siemens,Data Engineer for HR (m/f/d),external,2023-05-15,Kartuzy,Poland
Siemens,Senior Field Service Technician,external,2023-04-18,Milan,Italy
Celonis,Product Marketing Manager - Partner Solutions,external,2024-11-19,Munich,Germany
Siemens,GDC Process Mining Business Value Architect (f/m/d),external,2023-05-15,Opole,Poland
Bank of America,Oil & Gas Petroleum Engineer,external,2024-10-10,Dallas,TX
SpaceX,Propulsion Technician (Starship) - 1st Shift,external,2024-09-30,El Segundo,CA
Siemens,Service Dispatcher - Customer Service,external,2023-05-21,Leduc,Canada
DoorDash,DashMart Team Member - Tallmadge,external,2024-10-23,Akron,OH
SpaceX,Security Operator 3,external,2024-11-19,Redmond,WA
Siemens,Build your future with the Siemens Graduate Program Germany for Digital Industries - (f/m/d),external,2023-03-29,Erlangen,Germany
Celonis,Senior/Lead Value Engineer,external,2024-11-19,Madrid,Spain
Siemens,Cloud Software Engineering Team Lead,external,2023-05-18,Lyon,France
Siemens,Service Now Lead Developer Architect - HRSD (m/f/d),external,2023-05-15,Sroda Wielkopolska,Poland
Siemens,Qualitatsprufer (w/m/d),external,2023-05-18,Berlin,Germany
"Modern Animal, Inc.",Veterinarian - La Brea,external,2024-07-24,Los Angeles,CA
Lyft,"Drivers wanted - Great alternative to part-time, full-time and seasonal work",external,2024-09-23,Rock Island,IL
Siemens,"Customer Service Engineer 2 - Los Angeles, CA",external,2023-03-28,Cary,NC
Lyft,Drivers Needed in Greensboro,external,2024-09-23,Greensboro,NC
Siemens,Application support (German Speaker) (m/f/d),external,2023-05-02,Lisbon,Portugal
