company.name,locations,name,type,publication_date
Bank of America,"[{'name': 'Nashville, TN'}]","Sr. Relationship Manager - Global Commercial Banking - Healthcare, Education, Not-for-Profit - (Nashville)",external,2024-11-09T00:00:53Z
Siemens,"[{'name': 'Kartuzy, Poland'}]",Data Engineer for HR (m/f/d),external,2023-05-15T23:37:48Z
Siemens,"[{'name': 'Milan, Italy'}]",Senior Field Service Technician,external,2023-04-18T23:40:33Z
Celonis,"[{'name': 'Munich, Germany'}]",Product Marketing Manager - Partner Solutions,external,2024-11-19T11:36:08Z
Siemens,"[{'name': 'Opole, Poland'}]",GDC Process Mining Business Value Architect (f/m/d),external,2023-05-15T23:38:00Z
Bank of America,"[{'name': 'Dallas, TX'}]",Oil & Gas Petroleum Engineer,external,2024-10-10T00:01:37Z
SpaceX,"[{'name': 'El Segundo, CA'}]",Propulsion Technician (Starship) - 1st Shift,external,2024-09-30T23:36:05Z
Siemens,"[{'name': 'Leduc, Canada'}]",Service Dispatcher - Customer Service,external,2023-05-21T23:33:47Z
DoorDash,"[{'name': 'Akron, OH'}]",DashMart Team Member - Tallmadge,external,2024-10-23T12:07:57Z
SpaceX,"[{'name': 'Redmond, WA'}]",Security Operator 3,external,2024-11-19T11:35:05Z
Siemens,"[{'name': 'Erlangen, Germany'}]",Build your future with the Siemens Graduate Program Germany for Digital Industries - (f/m/d),external,2023-03-29T23:49:44Z
Celonis,"[{'name': 'Madrid, Spain'}]",Senior/Lead Value Engineer,external,2024-11-19T11:36:08Z
Siemens,"[{'name': 'Lyon, France'}]",Cloud Software Engineering Team Lead,external,2023-05-18T00:07:06Z
Siemens,"[{'name': 'Środa Wielkopolska, Poland'}]",Service Now Lead Developer Architect - HRSD (m/f/d),external,2023-05-15T23:37:48Z
Siemens,"[{'name': 'Berlin, Germany'}]",Qualitatsprufer (w/m/d),external,2023-05-18T00:06:23Z
"Modern Animal, Inc.","[{'name': 'Los Angeles, CA'}]",Veterinarian - La Brea,external,2024-07-24T23:41:28Z
Lyft,"[{'name': 'Rock Island, IL'}]","Drivers wanted - Great alternative to part-time, full-time and seasonal work",external,2024-09-23T06:46:01Z
Siemens,"[{'name': 'Cary, NC'}]","Customer Service Engineer 2 - Los Angeles, CA",external,2023-03-28T23:48:39Z
Lyft,"[{'name': 'Greensboro, NC'}]",Drivers Needed in Greensboro,external,2024-09-23T06:46:01Z
Siemens,"[{'name': 'Lisbon, Portugal'}]",Application support (German Speaker) (m/f/d),external,2023-05-02T23:41:42Z
