company_name,job_name,job_type,date,city,country
Siemens,Qualitatsprufer (w/m/d),external,2023-05-18,Berlin,Germany
"Modern Animal, Inc.",Veterinarian - La Brea,external,2024-07-24,Los Angeles,CA
Lyft,"Drivers wanted - Great alternative to part-time, full-time and seasonal work",external,2024-09-23,Rock Island,IL
Siemens,"Customer Service Engineer 2 - Los Angeles, CA",external,2023-03-28,Cary,NC
Lyft,Drivers Needed in Greensboro,external,2024-09-23,Greensboro,NC
Siemens,Application support (German Speaker) (m/f/d),external,2023-05-02,Lisbon,Portugal
Siemens,Senior Executive - Sales - Process Instrumentation,external,2023-04-06,Ahmedabad,India
Siemens,SYSTEM SPECIALIST (Field Technician FIRE Alarm Systems - SOLUTIONS),external,2023-05-03,Calgary,Canada
Siemens,SSMR ME Sr.Power Hardware Engineer ,external,2023-05-11,Shenzhen,China
Siemens,Account Executive (w/m/d) IoT/SaaS,external,2023-01-20,Munich,Germany
Udemy,"Senior Data Scientist, Instructor",external,2024-11-15,Ankara,Turkey
Siemens,Verification and validation engineer for embedded device,external,2023-01-25,Brno,Czech Republic
DoorDash,DashMart Team Member - Roy,external,2024-09-23,Roy,UT
Siemens,Laboratory Automation Informatics Specialist- Southeast,external,2023-04-21,Tarrytown,NY
Siemens,Field Service Engineer,external,2023-05-13,Louisville,KY
SpaceX,Surface and Corrosion Engineer (Starship),external,2024-06-04,Brownsville,TX
Siemens,Service Manager for PKI Services (m/f/d),external,2023-04-27,Bern,Switzerland
Siemens,Team Lead Cloud Success Architecture,external,2023-05-31,Sroda Wielkopolska,Poland
Bank of America,GCIB / GM KYC Change VP,external,2024-11-01,Charlotte,NC
SpaceX,Starlink Market Access Manager,external,2024-10-28,Lockhart,TX
