company.name,locations,name,type,publication_date
Siemens,"[{'name': 'Munich, Germany'}]",Senior Service Sales Professional (w/m/d) Smart Buildings,external,2023-05-03T23:46:10Z
Siemens,"[{'name': 'Munich, Germany'}]",Meister / Techniker (w/m/d) Stahlbau,external,2023-03-15T23:48:51Z
Bank of America,"[{'name': 'Charlotte, NC'}]",Vice President; Test Tools & Automation Manager,external,2024-11-20T00:02:13Z
Siemens,"[{'name': 'Belper, United Kingdom'}]",Senior Project Engineer - Traffic Management,external,2023-05-26T23:38:00Z
SpaceX,"[{'name': 'Lockhart, TX'}]","Manager, Manufacturing Engineering (Starlink PCBA)",external,2024-11-15T23:36:37Z
Siemens,"[{'name': 'Munich, Germany'}]",Abschnittsbauleitung (w/m/d) fur Gebaudetechnik,external,2023-05-09T23:39:21Z
Siemens,"[{'name': 'Bratislava, Slovakia'}]",Native modeling specialist,external,2023-01-11T23:41:38Z
Bank of America,"[{'name': 'Greenville, SC'}]",Relationship Banker - Greer Main-Poinsett Financial Center,external,2024-11-20T00:02:14Z
Adyen,"[{'name': 'New York, NY'}]","Enterprise Account Executive, Platforms",external,2024-09-05T23:36:10Z
Siemens,"[{'name': 'Příbram, Czech Republic'}]",Inzenyr Kvality,external,2023-04-13T23:42:41Z
Siemens,"[{'name': 'Fremont, CA'}]",Sr Sales Executive Security Service & Solutions ~ San Francisco,external,2023-05-18T23:38:47Z
Siemens,"[{'name': 'Bielefeld, Germany'}]",Product and Solution Security Expert (m/w/d),external,2023-03-14T23:47:32Z
Bank of America,"[{'name': 'Nashville, TN'}]","Sr. Relationship Manager - Global Commercial Banking - Healthcare, Education, Not-for-Profit - (Nashville)",external,2024-11-09T00:00:53Z
Siemens,"[{'name': 'Kartuzy, Poland'}]",Data Engineer for HR (m/f/d),external,2023-05-15T23:37:48Z
Siemens,"[{'name': 'Milan, Italy'}]",Senior Field Service Technician,external,2023-04-18T23:40:33Z
Celonis,"[{'name': 'Munich, Germany'}]",Product Marketing Manager - Partner Solutions,external,2024-11-19T11:36:08Z
Siemens,"[{'name': 'Opole, Poland'}]",GDC Process Mining Business Value Architect (f/m/d),external,2023-05-15T23:38:00Z
Bank of America,"[{'name': 'Dallas, TX'}]",Oil & Gas Petroleum Engineer,external,2024-10-10T00:01:37Z
SpaceX,"[{'name': 'El Segundo, CA'}]",Propulsion Technician (Starship) - 1st Shift,external,2024-09-30T23:36:05Z
Siemens,"[{'name': 'Leduc, Canada'}]",Service Dispatcher - Customer Service,external,2023-05-21T23:33:47Z
